epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2023.67,1.5623,1.70069,2.24564,0.46776,0.59346,0.5432,0.46946,1.24573,1.88357,2.11413,0.000660045,0.000660045,0.000660045
43,2071.29,1.57732,1.69026,2.27298,0.43034,0.56316,0.50322,0.4299,1.29732,1.89641,2.15646,0.000649046,0.000649046,0.000649046
44,2118.71,1.52052,1.67012,2.28286,0.50125,0.48939,0.53494,0.4557,1.29077,1.90996,2.1754,0.000638047,0.000638047,0.000638047
45,2166.35,1.4969,1.58952,2.24041,0.41297,0.58557,0.55606,0.47988,1.36222,1.88124,2.21594,0.000627048,0.000627048,0.000627048
46,2213.3,1.57415,1.65754,2.2608,0.40847,0.70882,0.57224,0.49046,1.29162,1.64908,2.17191,0.000616049,0.000616049,0.000616049
47,2260.54,1.49948,1.60555,2.21487,0.52185,0.5718,0.54625,0.47636,1.33033,1.84852,2.1572,0.000605051,0.000605051,0.000605051
48,2307.47,1.47599,1.56041,2.22279,0.42601,0.62824,0.52327,0.44998,1.38262,1.87503,2.23464,0.000594052,0.000594052,0.000594052
49,2354.71,1.56443,1.67861,2.2345,0.40313,0.6326,0.55886,0.48312,1.2392,1.77609,2.06891,0.000583053,0.000583053,0.000583053
50,2401.8,1.56005,1.6021,2.24705,0.43295,0.68712,0.55671,0.47342,1.3814,2.04197,2.18585,0.000572054,0.000572054,0.000572054
51,2449.23,1.49874,1.66798,2.24058,0.33819,0.48642,0.55109,0.48389,1.24632,1.78126,2.11265,0.000561055,0.000561055,0.000561055
52,2496.26,1.51764,1.58267,2.22635,0.60819,0.55369,0.6216,0.54103,1.27635,1.61836,2.15444,0.000550056,0.000550056,0.000550056
53,2543.93,1.48541,1.50773,2.21785,0.47004,0.53296,0.54839,0.47812,1.28169,1.75718,2.15011,0.000539057,0.000539057,0.000539057
54,2590.86,1.50289,1.52996,2.21943,0.47034,0.5473,0.55201,0.47518,1.29791,1.96788,2.15877,0.000528058,0.000528058,0.000528058
55,2637.89,1.49609,1.49622,2.2207,0.45669,0.64317,0.57908,0.50334,1.31315,1.84592,2.14626,0.000517059,0.000517059,0.000517059
56,2684.91,1.49191,1.49721,2.20302,0.47168,0.6794,0.54025,0.46321,1.26389,1.85555,2.12715,0.00050606,0.00050606,0.00050606
57,2732.31,1.45888,1.45976,2.17785,0.48813,0.68219,0.57311,0.49702,1.22126,1.63919,2.07551,0.000495062,0.000495062,0.000495062
58,2779.76,1.4711,1.55585,2.19077,0.4201,0.58026,0.54625,0.47952,1.21803,1.76873,2.09797,0.000484063,0.000484063,0.000484063
59,2826.99,1.55154,1.54371,2.22649,0.46259,0.6666,0.57207,0.49789,1.2377,1.75044,2.10733,0.000473064,0.000473064,0.000473064
60,2874.52,1.44088,1.53987,2.22966,0.5159,0.60648,0.58048,0.50705,1.23888,1.76335,2.08829,0.000462065,0.000462065,0.000462065
61,2922.24,1.49618,1.45323,2.22016,0.4048,0.63207,0.50268,0.42713,1.34727,1.83269,2.13218,0.000451066,0.000451066,0.000451066
