epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.435,1.31822,6.23993,2.27983,0.01271,0.94643,0.28484,0.26753,0.64241,7.54593,1.43039,0.00020004,0.00020004,0.00020004
2,240.999,0.9933,5.0008,2.0196,0.01299,0.95089,0.34511,0.32108,0.68598,7.24177,1.42832,0.000408498,0.000408498,0.000408498
3,355.427,0.97186,4.1731,1.96362,0.01249,0.95982,0.27209,0.24017,0.84727,6.59523,1.47075,0.000608375,0.000608375,0.000608375
4,469.257,1.13975,3.83612,2.07494,0.15902,0.75149,0.32321,0.29307,0.93722,6.20397,1.56765,0.00079967,0.00079967,0.00079967
5,577.528,1.10008,3.75392,2.04719,0.3167,0.30655,0.26471,0.18188,1.35565,6.72953,1.88242,0.000982383,0.000982383,0.000982383
6,702.005,1.10729,3.34782,2.02611,0.5817,0.16959,0.28279,0.22037,1.15599,6.45748,1.69048,0.00115651,0.00115651,0.00115651
7,820.064,1.14928,3.32357,2.01693,0.65827,0.50054,0.57707,0.50992,1.03684,5.11808,1.60301,0.00132206,0.00132206,0.00132206
8,933.838,1.107,3.06746,1.99744,0.5114,0.25,0.39038,0.32007,1.01626,5.77301,1.62596,0.00143595,0.00143595,0.00143595
9,1047.3,1.08507,2.98699,1.99291,0.47058,0.43304,0.4339,0.35231,1.02456,5.38107,1.62816,0.00140295,0.00140295,0.00140295
10,1161.44,1.08116,2.78491,1.97833,0.42136,0.37649,0.36224,0.27295,1.48382,5.53877,1.91612,0.00136994,0.00136994,0.00136994
11,1277.41,1.04232,2.70599,1.98575,0.42335,0.54018,0.41647,0.37175,0.82922,4.14693,1.46096,0.00133693,0.00133693,0.00133693
12,1402.68,0.92828,2.60595,1.91875,0.55363,0.52381,0.489,0.44525,0.75051,4.26499,1.42,0.00130393,0.00130393,0.00130393
13,1535.76,0.96057,2.45545,1.93388,0.62224,0.64583,0.67821,0.59561,0.81502,3.26555,1.48857,0.00127092,0.00127092,0.00127092
14,1667.67,0.93261,2.33759,1.88767,0.53405,0.7128,0.58659,0.53262,0.84389,3.82878,1.49543,0.00123791,0.00123791,0.00123791
15,1799.17,0.87092,2.32125,1.8887,0.59686,0.67628,0.6535,0.5994,0.76059,3.36125,1.44215,0.00120491,0.00120491,0.00120491
16,1933.32,0.92171,2.2755,1.88818,0.57691,0.67525,0.61128,0.54074,0.83052,3.15099,1.48156,0.0011719,0.0011719,0.0011719
17,2059.34,0.92661,2.27004,1.90965,0.64526,0.71259,0.653,0.59881,0.72247,3.10315,1.41798,0.00113889,0.00113889,0.00113889
18,2167.67,0.86468,2.20993,1.88213,0.64343,0.78274,0.7481,0.69754,0.70309,2.38665,1.40301,0.00110589,0.00110589,0.00110589
19,2275.25,0.8562,2.12424,1.9,0.67621,0.72024,0.73363,0.66842,0.72894,2.49834,1.40489,0.00107288,0.00107288,0.00107288
20,2383.59,0.83458,2.09896,1.85286,0.72684,0.741,0.79523,0.74359,0.69861,2.24131,1.38934,0.00103987,0.00103987,0.00103987
21,2491.56,0.85703,2.08982,1.89402,0.63274,0.71525,0.67924,0.63401,0.67573,3.23863,1.38032,0.00100687,0.00100687,0.00100687
22,2599.19,0.8181,1.99605,1.87391,0.68062,0.76786,0.75735,0.71296,0.65093,2.23017,1.35455,0.000973861,0.000973861,0.000973861
23,2707.45,0.79906,1.90078,1.86648,0.78949,0.64286,0.77311,0.73548,0.67091,2.21076,1.35386,0.000940855,0.000940855,0.000940855
24,2815.08,0.80376,1.87663,1.85709,0.66872,0.75226,0.74434,0.69633,0.63331,2.27426,1.34321,0.000907848,0.000907848,0.000907848
25,2923.4,0.77736,1.73352,1.8807,0.74246,0.66071,0.74859,0.71051,0.6265,2.22895,1.34795,0.000874842,0.000874842,0.000874842
26,3032.21,0.8044,1.85876,1.87485,0.79283,0.79708,0.83783,0.78271,0.69053,1.84267,1.37209,0.000841835,0.000841835,0.000841835
27,3140.03,0.71837,1.62277,1.81373,0.82595,0.84941,0.88114,0.82063,0.63211,1.64994,1.34816,0.000808828,0.000808828,0.000808828
28,3248.15,0.74953,1.70531,1.83953,0.80721,0.75633,0.84918,0.80672,0.59569,1.7251,1.33964,0.000775822,0.000775822,0.000775822
29,3358.68,0.72152,1.72795,1.84793,0.84211,0.7299,0.8435,0.79633,0.58832,1.71758,1.32798,0.000742815,0.000742815,0.000742815
30,3466.02,0.70184,1.67313,1.82107,0.77437,0.85742,0.8619,0.81768,0.57244,1.59464,1.31396,0.000709809,0.000709809,0.000709809
