epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5853.22,0.51018,0.83464,1.76343,0.93837,0.89643,0.95335,0.93453,0.3529,0.56323,1.22329,0.000990365,0.000990365,0.000990365
43,5991.19,0.5085,0.80596,1.76346,0.92793,0.92505,0.95516,0.93589,0.34635,0.55152,1.21482,0.000973861,0.000973861,0.000973861
44,6129.04,0.50807,0.81888,1.75096,0.92176,0.92466,0.958,0.93862,0.35822,0.54174,1.2206,0.000957358,0.000957358,0.000957358
45,6271.45,0.50952,0.80069,1.76518,0.92251,0.91418,0.95483,0.93779,0.34556,0.56542,1.21227,0.000940855,0.000940855,0.000940855
46,6410.92,0.50307,0.83544,1.76788,0.93188,0.90026,0.9532,0.93404,0.35153,0.58352,1.21503,0.000924352,0.000924352,0.000924352
47,6548.91,0.49321,0.77512,1.75876,0.94068,0.89777,0.9551,0.93541,0.34078,0.56312,1.21333,0.000907848,0.000907848,0.000907848
48,6689.06,0.49892,0.82893,1.75775,0.93687,0.90843,0.95501,0.93611,0.34616,0.54602,1.21583,0.000891345,0.000891345,0.000891345
49,6828.11,0.49686,0.80884,1.74884,0.93783,0.90918,0.95748,0.93968,0.33218,0.54181,1.21088,0.000874842,0.000874842,0.000874842
50,6965.97,0.49378,0.79803,1.75149,0.93534,0.90908,0.95581,0.9356,0.34063,0.55896,1.21039,0.000858338,0.000858338,0.000858338
51,7106.36,0.45773,0.74154,1.73844,0.93472,0.91191,0.95756,0.94061,0.32441,0.53596,1.20646,0.000841835,0.000841835,0.000841835
52,7245.95,0.48067,0.75354,1.74845,0.92344,0.91095,0.95468,0.93794,0.32405,0.57732,1.2054,0.000825332,0.000825332,0.000825332
53,7384.32,0.47381,0.76004,1.74846,0.92387,0.92638,0.95804,0.94072,0.32615,0.53772,1.19963,0.000808828,0.000808828,0.000808828
54,7522.68,0.47764,0.74409,1.74678,0.92576,0.91863,0.96146,0.94302,0.32524,0.52357,1.20138,0.000792325,0.000792325,0.000792325
55,7660.26,0.47916,0.76463,1.75067,0.94316,0.91376,0.95928,0.94119,0.33255,0.51823,1.21159,0.000775822,0.000775822,0.000775822
56,7801.91,0.45462,0.73867,1.74878,0.92181,0.90784,0.95392,0.93836,0.31372,0.58735,1.20131,0.000759318,0.000759318,0.000759318
57,7942.65,0.45551,0.73754,1.74327,0.94219,0.92254,0.96175,0.9446,0.31912,0.49608,1.20231,0.000742815,0.000742815,0.000742815
58,8081.56,0.46104,0.73823,1.73949,0.92653,0.92265,0.95836,0.94108,0.31755,0.50903,1.20235,0.000726312,0.000726312,0.000726312
59,8221.24,0.46636,0.72727,1.74668,0.93093,0.92473,0.96086,0.94521,0.31876,0.51872,1.2039,0.000709809,0.000709809,0.000709809
60,8361.84,0.45757,0.73326,1.7487,0.93985,0.91963,0.96296,0.94381,0.31318,0.48635,1.20305,0.000693305,0.000693305,0.000693305
